Fri Feb 07 2020 21:38:16 GMT-0500 (Eastern Standard Time) - Run Time: 3498ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: Straight line trip length in Metre - trip_m
Table: Planning district of destination - pd_dest

RowG:
ColG:
TblG:(1)

Filters:
2006 GTA zone of destination - gta06_dest In 1-90
and
2006 GTA zone of origin - gta06_orig In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : trip_m

TABLE    : pd_dest (PD 1 of Toronto)

  gta06_orig      trip_m      total
          17        4677         20
          17        5101         27
          18           0         38
          18          11         30
          18         126         13
          18         155         19
          18         175         28
          18         205         82
          18         228         37
          18         261         16
          18         270         14
          18         273         19
          18         280         30
          18         317         56
          18         335         54
          18         347         60
          18         379         16
          18         391         15
          18         404         15
          18         416         28
          18         433        215
          18         452         23
          18         511         71
          18         535         14
          18         555         31
          18         636         10
          18         654         13
          18         664         53
          18         674         52
          18         679         14
          18         760         21
          18         775         25
          18         781         20
          18         786         16
          18         811         12
          18         818         53
          18        1046         18
          18        1075          8
          18        1184         56
          18        1251         16
          18        1255         28
          18        1264         21
          18        1292         21
          18        1316          6
          18        1331         34
          18        1387         33
          18        1406         31
          18        1408         13
          18        1461         18
          18        1477         15
          18        1485         88
          18        1491         13
          18        1535         28
          18        1559         40
          18        1576         12
          18        1579         12
          18        1581         16
          18        1589         14
          18        1609         24
          18        1629         54
          18        1642         15
          18        1663          5
          18        1675         40
          18        1681         36
          18        1751         34
          18        1758         13
          18        1794         14
          18        1821          5
          18        1836         28
          18        1864          5
          18        1873         32
          18        1879         31
          18        1903         28
          18        1910         11
          18        1915         13
          18        1955         15
          18        1959          7
          18        1974         52
          18        1998         15
          18        2007         20
          18        2016          5
          18        2024         29
          18        2037         16
          18        2050          7
          18        2053         16
          18        2066         16
          18        2093          7
          18        2094         16
          18        2111          7
          18        2118         45
          18        2132         10
          18        2135         28
          18        2163         16
          18        2176          9
          18        2224         28
          18        2250         10
          18        2256         18
          18        2285         22
          18        2306         18
          18        2405         10
          18        2417         54
          18        2443         27
          18        2453         36
          18        2494         23
          18        2507         16
          18        2529         21
          18        2622         54
          18        2722         10
          18        2777         21
          18        2780         13
          18        2853         27
          18        2866         11
          18        2870         16
          18        2924         18
          18        2930         19
          18        2951         15
          18        2959         16
          18        2970         14
          18        3181         14
          18        3231         54
          18        3257         12
          18        3286         14
          18        3359         14
          18        4048         15
          18        4541         35
          19          19         22
          19         142         18
          19         238         46
          19         269         11
          19         280         30
          19         292          8
          19         298         18
          19         315         52
          19         318         10
          19         330         19
          19         335         54
          19         340          6
          19         351         16
          19         357          6
          19         371         24
          19         374         11
          19         401         21
          19         412          6
          19         416         28
          19         433        215
          19         434         39
          19         436          8
          19         438         18
          19         441         82
          19         485         15
          19         487          8
          19         500         18
          19         508         41
          19         535         29
          19         557          5
          19         561         20
          19         577         15
          19         599         22
          19         607         17
          19         634         11
          19         638         12
          19         674         52
          19         679         14
          19         690         14
