Fri Feb 07 2020 22:17:05 GMT-0500 (Eastern Standard Time) - Run Time: 3081ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest
Table: Planning district of origin - pd_orig

RowG:
ColG:
TblG:(1)

Filters:
Start time of trip - start_time In 1500-1900
and
2006 GTA zone of origin - gta06_orig In 1-90
and
2006 GTA zone of destination - gta06_dest In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : gta06_dest

TABLE    : pd_orig (PD 1 of Toronto)

  gta06_orig  gta06_dest      total
          40          69         19
          40          70         13
          40          71        110
          40          75         27
          40          77         11
          40          79         62
          40          84         19
          40          88         30
          40          89         27
          41          15         14
          41          17         10
          41          19         19
          41          21         72
          41          22         77
          41          25         24
          41          26         23
          41          34         25
          41          35         18
          41          36         21
          41          38         34
          41          39         16
          41          40         39
          41          42         82
          41          45         17
          41          46         23
          41          47         11
          41          52         70
          41          55         26
          41          60         14
          41          62          6
          41          63         17
          41          66         46
          41          69        122
          41          71         36
          41          74          7
          41          75         10
          41          79         18
          41          84         17
          41          90         23
          42           4         39
          42          15         84
          42          17         30
          42          19         14
          42          20          6
          42          21        127
          42          22         56
          42          25         31
          42          35         12
          42          36         22
          42          37         21
          42          38         77
          42          39         12
          42          40         49
          42          41         20
          42          42        126
          42          43         69
          42          45         60
          42          46         91
          42          50          9
          42          52         61
          42          53         14
          42          59         13
          42          62          8
          42          64         36
          42          65         66
          42          66         24
          42          68          5
          42          71         61
          42          72         19
          42          73         85
          42          76        146
          42          79         24
          42          84         39
          42          86         16
          42          90         81
          43          11         29
          43          15         54
          43          16          6
          43          17         26
          43          18         34
          43          19         13
          43          20         28
          43          21        187
          43          22        103
          43          25         31
          43          26         12
          43          30         22
          43          36         29
          43          37         27
          43          38         70
          43          39         19
          43          40         49
          43          41        192
          43          42        115
          43          43        210
          43          44         47
          43          45        115
          43          46         55
          43          47         39
          43          48         16
          43          49         18
          43          50         59
          43          51          8
          43          52         66
          43          53         18
          43          54         17
          43          55         19
          43          57         19
          43          59         51
          43          60         47
          43          61         41
          43          62         34
          43          63         16
          43          64         27
          43          65         46
          43          66         63
          43          67         45
          43          68          6
          43          69         44
          43          70         61
          43          71         61
          43          72        142
          43          73         10
          43          74         23
          43          77         15
          43          78         10
          43          79        101
          43          82         34
          43          84         23
          43          89        103
          43          90        155
          44          10        121
          44          16         12
          44          17         14
          44          20         36
          44          21        111
          44          25         41
          44          26         35
          44          34         21
          44          36         10
          44          38         30
          44          41         30
          44          44         22
          44          45         38
          44          46         52
          44          48         73
          44          50         16
          44          52         38
          44          55         12
          44          64         65
          44          67         13
          44          68         35
          44          71        125
          44          72         71
          44          73         32
          44          77         60
          45          15         18
          45          17         19
          45          18         46
          45          19          5
          45          20         25
          45          21        238
          45          22         68
          45          24         47
          45          25        111
          45          26         25
          45          30         18
          45          35         65
          45          36        116
          45          37         15
          45          38         23
          45          39         54
          45          41        175
          45          42         98
          45          43        188
          45          44        104
          45          45        368
          45          46        254
          45          47         66
          45          48         96
          45          50        100
          45          52        329
          45          54         22
          45          55        101
          45          56         32
          45          57         14
          45          60         45
          45          61         26
          45          64         44
          45          65         55
          45          66         65
          45          67        234
          45          68         43
          45          70         21
          45          71        181
          45          72         71
          45          74          7
          45          75        226
          45          76         42
          45          77         44
          45          78          6
          45          79         26
          45          80          4
          45          81         63
          45          82          4
          45          84         47
          45          89        157
          45          90         42
          46          17         19
          46          19          4
          46          20          7
          46          21         74
          46          22        103
          46          25          6
          46          34         13
          46          35         24
          46          37         27
          46          38         92
          46          39         24
          46          40         53
          46          41        105
          46          42        109
          46          43         61
          46          44         96
          46          45        145
          46          46        210
          46          48         67
          46          49         37
          46          50        106
          46          53         44
          46          54          8
          46          57         37
          46          59         15
          46          61         22
          46          64         44
          46          66         40
          46          67         37
          46          68         18
          46          69        129
          46          70          8
          46          71        221
          46          72          5
          46          73         85
          46          75         88
          46          78         18
          46          80          4
          46          85         24
          46          89         60
          46          90         67
          47          11         34
          47          15         33
          47          17         14
          47          19         86
          47          21        115
          47          22         45
          47          23          5
          47          25         39
          47          26          9
          47          34         32
          47          38         52
          47          39         16
          47          40         31
          47          41         12
          47          42         31
          47          44         14
          47          45         18
          47          46        103
          47          47         31
          47          48         13
          47          50         13
          47          52         24
          47          55         24
          47          57         34
          47          59         15
          47          60         23
          47          61         38
          47          63         21
          47          65         22
          47          66         30
          47          67         51
          47          69         76
          47          70         22
          47          71         39
          47          72         23
          47          74         16
          47          75         73
          47          78         29
          47          79         18
          47          82         10
          47          84         35
          47          89         14
          47          90         36
          48          17         36
          48          18         20
          48          19         29
          48          21         85
          48          22         18
          48          34         22
          48          35         12
          48          37         21
          48          38        113
          48          40        104
          48          41         45
          48          43         14
          48          46         87
          48          47         25
          48          48         52
          48          49         44
          48          50         41
          48          51         33
          48          52        165
          48          53          5
          48          57         15
          48          65         25
          48          66         14
          48          67         34
          48          69         71
          48          71        129
          48          72         20
          48          74          6
          48          75         25
          48          79         22
          48          84          6
          48          90         47
          49           1          6
          49          15         55
          49          17         61
          49          18         32
          49          21         91
          49          22         60
          49          24        107
          49          34         10
          49          35          5
          49          36         35
          49          37         57
          49          38         53
