Fri Feb 07 2020 22:28:36 GMT-0500 (Eastern Standard Time) - Run Time: 2867ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: Straight line trip length in Metre - trip_m
Table: Planning district of origin - pd_orig

RowG:
ColG:
TblG:(1)

Filters:
Start time of trip - start_time In 1900-2400
and
2006 GTA zone of origin - gta06_orig In 1-90
and
2006 GTA zone of destination - gta06_dest In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : trip_m

TABLE    : pd_orig (PD 1 of Toronto)

  gta06_orig      trip_m      total
          38        1564         14
          38        1623         15
          38        1631         10
          38        1635         18
          38        1645         18
          38        1649         18
          38        1656         25
          38        1685         26
          38        1728         30
          38        1751         34
          38        1833         18
          38        1858         61
          38        1898         73
          38        1915         13
          38        1928         15
          38        2043         26
          38        2057         22
          38        2066         12
          38        2078         13
          38        2134         24
          38        2140         26
          38        2226         18
          38        2263         11
          38        2277         30
          38        2361         46
          38        2372         19
          38        2385         19
          38        2723         15
          38        2957         19
          38        3304         56
          38        3391         15
          38        3673         17
          38        4448         23
          39          70         35
          39          76         11
          39         204         16
          39         327         14
          39         328          8
          39         430         12
          39         528         14
          39         554         37
          39         802         16
          39         878          4
          39         974          9
          39         982         16
          39         984         36
          39        1122         18
          39        1252          3
          39        1694         13
          39        1777         16
          39        1795         35
          39        2040         21
          39        2281         16
          39        2357         17
          39        2618         14
          39        2752         22
          39        2911         15
          39        3834         19
          40         222         21
          40         246         14
          40         276         46
          40         278         12
          40         372          7
          40         400         15
          40         417         23
          40         450         38
          40         456         15
          40         459         13
          40         490         23
          40         580         22
          40         585         19
          40         603         28
          40         622         19
          40         629         15
          40         649         13
          40         676         30
          40         708         24
          40         717          5
          40         788          6
          40         806         10
          40         923         20
          40        1255         39
          40        1256         39
          40        1303         16
          40        1379         31
          40        1383         24
          40        1409         27
          40        1446          5
          40        1449          5
          40        1463          3
          40        1510         29
          40        1645         18
          40        1661         24
          40        1778         28
          40        1787         20
          40        2026          9
          40        2268         18
          40        2405         10
          40        2411         10
          40        2697         16
          40        2906         26
          40        3340         10
          40        3734         22
          40        3789         37
          40        4812         30
          41         144         17
          41         204         16
          41         394         19
          41         429         11
          41         590         28
          41         695         36
          41         720         41
          41         852         15
          41        1517         27
          41        1623         48
          41        2447         17
          41        2590         24
          41        2845         17
          41        3034         23
          41        3180         18
          41        3403         11
          41        3577         18
          41        4263         20
          41        4946         17
          42         115         30
          42         127         18
          42         133         48
          42         153         14
          42         177         34
          42         213         19
          42         253          9
          42         588         37
          42         618         18
          42         629         12
          42         708         24
          42         765         37
          42         803         15
          42         920         18
          42        1108         37
          42        1110         23
          42        1114         14
          42        1145         31
          42        1205         39
          42        1230         76
          42        1233         40
          42        1249         43
          42        1304         16
          42        1330         32
          42        1513         10
          42        1727          7
          42        1816         23
          42        2103         43
          42        2490         23
          42        2867          8
          42        3204          7
          42        3234         51
          42        3348         22
          42        3609         25
          42        4317         12
          43         126         36
          43         166          6
          43         304         14
          43         480         42
          43         640         19
          43         846         15
          43         871         12
          43         921         58
          43         933         16
          43         940          4
          43         961         18
          43        1100         13
          43        1102         24
          43        1515         33
          43        1572         13
          43        1576          4
          43        1651         15
          43        1677         17
          43        1706         19
          43        1785         11
          43        1899          6
          43        1977         27
          43        2453         36
          43        2584         19
          43        2606         26
          43        2832          7
          43        2834         12
          43        2953         18
          43        2968         18
          43        3081         20
          43        3133         18
          43        3153         17
          43        3176         11
          43        3258         26
          43        3625         15
          43        3675         18
          43        4048         17
          43        4170         11
          43        4252         18
          44         798         22
          44        1419          9
          44        1493         12
          44        1500         38
          44        2153         19
          44        2306         21
          44        2928          9
          44        3387         33
          44        3448         16
          44        3844          4
          44        3859         23
          44        3872         15
          45         127         46
          45         152         19
          45         189         18
          45         209         33
          45         231         36
          45         262         30
          45         276         26
          45         389         30
          45         449        112
          45         463         39
          45         520         16
          45         556         16
          45         576         33
          45         579         14
          45         608         27
          45         698         14
          45         862         13
          45         877         26
          45         880          5
          45         912         10
          45         934          6
          45        1100         33
          45        1225          5
          45        1263         15
          45        1387         11
          45        1390         33
          45        1431          6
          45        1435         20
          45        1446          5
          45        1472         12
          45        1479         13
          45        1501         19
          45        1524         19
          45        1541         30
          45        1570         15
          45        1611         11
          45        1860         65
          45        2026         73
          45        2030         14
          45        2039         24
          45        2159         15
          45        2331        101
          45        2381         11
          45        2422          7
          45        2493         48
          45        2603         21
          45        2630         25
          45        2931          8
          45        2975         30
          45        2985         14
          45        3033         15
          45        3137         20
          45        3188         14
          45        3229         21
          45        3361          8
          45        3445         18
          45        3462         26
          45        3591         38
          45        3699         23
          45        3781         22
          45        3811         16
          45        4229         48
          46         168          4
          46         176         37
          46         183         37
          46         215         31
          46         318         36
          46         437         15
          46         472         17
          46         483         19
          46         497         32
          46         557         45
          46         558         48
          46         561         30
          46         592         30
          46         608         18
          46         629          9
          46         675         20
          46         739         10
          46         837          5
          46         884          9
          46         905         18
          46         954         29
          46        1050         18
          46        1096         18
          46        1307         28
          46        1519         14
          46        1552         24
          46        1635         18
          46        1665          5
          46        1791          6
          46        1836         17
          46        1876          7
          46        1941          5
          46        2241         10
          46        2280         37
          46        2306         16
          46        2518         12
          46        2630         19
          46        2739         13
          46        2957         17
          46        2979         27
          46        3300         15
          46        3878         22
          46        4173          4
          46        4314         22
          47         341         29
          47         419         18
          47         478         37
          47         618         18
          47         637         14
          47         725         61
          47         894         16
          47        1072         30
          47        1325         30
          47        1326         14
          47        1662         16
          47        1826         86
          47        2090         22
          47        2471         22
          47        2544         10
          47        2609         10
          47        3186          3
          47        3207          3
          47        3297         26
          47        3442         18
          47        3453         23
          47        3695         19
          47        4255        153
          47        6642         15
          48         470         15
          48         575         34
          48         813         50
          48         988          3
          48        1024         15
          48        1358         37
          48        1505         67
          48        1730         61
          48        1920         72
          48        2038         12
          48        2183         10
          49         320         21
          49         631         30
          49         674         37
          49         770         34
          49         858         20
          49         894         22
          49        1025         36
          49        1130         29
          49        1147         81
          49        1186         23
          49        1244         33
          49        1518         22
          49        1593          7
          49        1650         15
          49        1767          6
          49        1933          5
          49        2155         34
          49        2406         22
          49        2846         13
          49        2873         32
          49        3061         22
          49        3072         17
          50          83         29
          50         125        107
          50         159         15
          50         227         23
          50         239         12
          50         240         14
          50         280         21
          50         282         13
          50         376         30
          50         404         10
          50         458         12
          50         492          5
          50         508         28
          50         532          5
          50         557         45
          50         577         22
          50         585          7
          50         675         30
          50         677         31
          50         683         15
          50         712         18
          50         714         47
          50         773         11
          50         816          6
          50         822         13
          50         850         23
          50         853         18
          50         892         13
          50         916         12
          50         971         14
          50         975         21
          50        1156         11
          50        1172         11
          50        1210         19
          50        1229         12
          50        1247         41
          50        1253          9
          50        1283         29
          50        1334         30
          50        1385         17
          50        1395          9
          50        1438          7
          50        1578         12
          50        1587         19
          50        1609         33
          50        1633         21
          50        1667         13
          50        1781        107
          50        1782         21
          50        1879        107
          50        1908         12
          50        1929          8
          50        1945          8
          50        2054         21
          50        2103         14
          50        2209         36
          50        2240         23
          50        2259         14
          50        2265         13
          50        2372          9
          50        2398         17
          50        2453         33
          50        2664         14
          50        2672          5
          50        2826         13
          50        2915         23
          50        3211         23
          50        3349         18
          50        3359         18
          50        3380         24
          51          80         19
          51          81         19
          51         206         23
          51         283          5
          51         301         18
          51         363         19
          51         502          7
          51         510         60
          51         582         30
          51         609         30
          51         653         18
          51         662         19
          51         733          7
          51         768         13
          51         842         11
          51         960         15
          51         984         12
          51        1003         15
          51        1041         11
          51        1048          4
          51        1061         58
          51        1071         19
          51        1094         20
          51        1099         19
          51        1117        150
          51        1118         18
          51        1122         15
          51        1144         15
          51        1165         18
          51        1263         12
          51        1299         24
          51        1338         27
          51        1361         18
          51        1377         24
          51        1441         13
          51        1463         24
          51        1470         18
          51        1481         26
          51        1492         32
          51        1541          9
          51        1555          5
          51        1557         17
          51        1616         17
          51        1624         31
          51        1633         14
          51        1644         29
          51        1653         15
          51        1701         20
          51        1782         30
          51        1886         24
          51        1918          7
          51        1937         12
          51        1949         31
          51        1952         20
          51        2020         21
          51        2110         30
          51        2180         14
          51        2267          9
          51        2783         18
          51        3054          4
          52          73         51
          52         139          6
          52         147         19
          52         183         12
          52         197          4
          52         231         30
          52         295         11
          52         303         29
          52         353         21
          52         372         19
          52         546         13
          52         599         23
          52         618         36
          52         636         12
          52         691         99
          52         703         53
          52         711         22
          52         766         20
          52         836         13
          52         840         54
          52         843         76
          52         886         39
          52         935         28
          52         955         29
          52         964         25
          52         973         24
          52         982         18
          52         999         13
          52        1059         58
          52        1110         18
          52        1129         43
          52        1157         31
          52        1159         32
          52        1184         29
          52        1223         43
          52        1230         76
          52        1267         27
          52        1290         17
          52        1305         18
          52        1322         15
          52        1350         16
          52        1363         74
          52        1390         29
          52        1397        144
          52        1400         11
          52        1424         16
          52        1440         15
          52        1441         44
          52        1465         23
          52        1480         30
          52        1484         18
          52        1499         12
          52        1547         19
          52        1559         21
          52        1581         16
          52        1587         47
          52        1621         17
          52        1627         27
          52        1658         30
          52        1670         24
          52        1676         31
          52        1694         15
          52        1706         17
          52        1718        128
          52        1732          3
          52        1734         22
          52        1767          7
          52        1839         14
          52        1841         16
          52        1845         15
          52        1849         63
          52        1878         12
          52        1880         30
          52        1882         13
          52        1896         16
          52        1902         30
          52        1908         18
          52        1926         12
          52        1931         34
          52        1945         18
          52        1955          4
          52        1982         34
          52        2034         39
          52        2063          4
          52        2141          5
          52        2373         14
          52        2466         28
          52        2467          9
          52        2475         19
          52        2499         19
          52        2506         20
          52        2589         44
          52        2597          9
          52        2599          5
          52        2707          6
          52        2747         56
          52        2776         10
          52        2796         17
          52        2802         17
          52        2818         12
          52        2826         43
          52        2864         22
          52        3016         28
          52        3062          7
          52        3203         22
          52        3254         22
          52        3273         20
          52        3307         22
          52        3355         20
          52        3420          7
          52        4173         23
          53          39         29
          53          59         19
          53         391         24
          53         458         12
          53         573         98
          53         591         15
          53         708         30
          53         768         38
          53         903         11
          53        1013         22
          53        1084         19
          53        1207         46
          53        1288         22
          53        1306         12
          53        1315         47
          53        1316         12
          53        1349         37
          53        1433         14
          53        1447         17
          53        1642         15
          53        1643         51
          53        1733          8
          53        1868          7
          53        1871          7
          53        2436         22
          53        2483         26
          54         142          7
          54         230         18
          54         347         15
          54         469         17
          54         490         15
          54         611          9
          54         639         22
          54         677         15
          54         703         15
          54         735         19
          54         770         13
          54         865          6
          54         866         20
          54         887         12
          54         912         18
          54         946         27
          54         948          6
          54        1024         20
          54        1025         42
          54        1026          5
          54        1042         12
          54        1043         18
          54        1050         18
          54        1051         15
          54        1088         12
          54        1158        112
          54        1165         17
          54        1210         19
          54        1216         11
          54        1218         18
          54        1225          3
          54        1315         15
          54        1320         15
          54        1358          4
          54        1594         18
          54        1615         29
          54        1618         12
          54        1622         19
          54        1648         18
          54        1668         26
          54        1678         14
          54        1703         20
          54        1907         17
          54        2020         19
          54        2065          6
          54        2094         18
          54        2165          5
          54        2302         19
          54        2331        101
          54        2373          9
          54        2383         19
          54        2413         27
          54        2472         19
          54        2499         10
          54        2526         22
          54        2535         24
          54        2870         30
          54        3121          5
          54        4122         55
          55         204         12
          55         236          8
          55         246         37
          55         297         25
          55         300         18
          55         323          6
          55         392         18
          55         403         26
          55         462         25
          55         499         13
          55         527         31
          55         557          8
          55         596         18
          55         639         21
          55         641         10
          55         665          8
          55         684         18
          55         693         16
          55         712         18
          55         718         26
          55         733          6
          55         736         57
          55         795         34
          55         798         15
          55         828         18
          55         849         27
          55         852         15
          55         855         42
          55         902         14
          55         913         34
          55         914         19
          55         964         27
          55         975         21
          55         993         15
          55        1001         18
          55        1009         52
          55        1011         13
          55        1032         44
          55        1039         12
          55        1057         14
          55        1081         12
          55        1093          9
          55        1109         16
          55        1150         16
          55        1160         18
          55        1163         14
          55        1165         17
          55        1193         30
          55        1229         54
          55        1243         11
          55        1245         20
          55        1252         11
          55        1259         18
          55        1285         21
          55        1299         37
          55        1317         11
          55        1323         12
          55        1328         20
          55        1357          5
          55        1407         18
          55        1449          9
          55        1451         10
          55        1479          4
          55        1485         12
          55        1493         29
          55        1560         36
          55        1565         11
          55        1625          3
          55        1705         21
          55        1718         11
          55        1744         18
          55        1779         20
          55        1780         19
          55        1821         29
          55        1835          3
          55        1848         18
          55        1858         17
          55        1860          7
          55        1891         17
          55        1979         18
          55        1984         45
          55        2032         32
          55        2055          3
          55        2102         15
          55        2122         15
          55        2159         18
          55        2183          7
          55        2227         36
          55        2276         21
          55        2278         20
          55        2290         31
          55        2308         41
          55        2337         51
          55        2357         23
          55        2375         17
          55        2464         31
          55        2558         48
          55        2610         27
          55        2740          4
          55        2773         12
          55        2781          4
          55        2923          8
          55        2961         20
          55        3003          4
          55        3088         12
          55        3107          5
          55        3168          5
          55        3247         16
          55        3381         17
          56         268         18
          56         286         12
          56         372          3
          56         378         17
          56         429         18
          56         448         18
          56         463         19
          56         504         15
          56         602         19
          56         612          8
          56         613         13
          56         646          8
          56         695         19
          56         701         12
          56         716         18
          56         728         17
          56         894         18
          56         946         15
          56         972         26
          56        1000         12
          56        1026         18
          56        1080         11
          56        1099         16
          56        1183         16
          56        1247         16
          56        1268         26
          56        1273         15
          56        1288         31
          56        1358         12
          56        1361         12
          56        1389         16
          56        1453         17
          56        1520         18
          56        1521         18
          56        1545         18
          56        1582         21
          56        1619         18
          56        1628         16
          56        1721         40
          56        1913          7
          56        1938         35
          56        2164         20
          56        2437         17
          56        2567         17
          56        2593         35
          56        3142         40
          56        6144          6
          57         216         22
          57         259         10
          57         272          9
          57         334         11
          57         444         18
          57         445         27
          57         448         39
          57         462         11
          57         482         18
          57         564         16
          57         565         25
          57         591         21
          57         600         18
          57         613         23
          57         617         17
          57         627         12
          57         631         18
          57         633         22
          57         635         14
          57         702         22
          57         737         18
          57         762         20
          57         780         13
          57         853         20
          57         854         18
          57         860         30
          57         893         33
          57         923         20
          57        1009         17
          57        1015         34
