Fri Feb 07 2020 21:25:37 GMT-0500 (Eastern Standard Time) - Run Time: 3054ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest
Table: Planning district of destination - pd_dest

RowG:
ColG:
TblG:(1)

Filters:
2006 GTA zone of destination - gta06_dest In 1-90
and
2006 GTA zone of origin - gta06_orig In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : gta06_dest

TABLE    : pd_dest (PD 1 of Toronto)

  gta06_orig  gta06_dest      total
          33          72        123
          33          75          6
          33          76        152
          33          83         27
          33          84         15
          33          85          8
          33          89         27
          34           1         43
          34           2         17
          34           3         36
          34           6         33
          34          14         12
          34          15        181
          34          16         40
          34          17         10
          34          18         52
          34          19         12
          34          21        104
          34          22         15
          34          24         68
          34          25        309
          34          26        299
          34          28         30
          34          30         12
          34          31         23
          34          33         20
          34          34        118
          34          35        114
          34          36        130
          34          37        177
          34          38        139
          34          39         53
          34          40         48
          34          41         25
          34          42         38
          34          43         99
          34          44         21
          34          45        129
          34          46         75
          34          47         69
          34          48         22
          34          49         24
          34          50         94
          34          51         57
          34          52        119
          34          53         52
          34          54        250
          34          55        323
          34          56        200
          34          57        166
          34          58         24
          34          59         65
          34          60         34
          34          62         28
          34          63         81
          34          64         51
          34          65        231
          34          66         54
          34          67         81
          34          68         48
          34          69         49
          34          70        104
          34          71         21
          34          72         28
          34          75         18
          34          77         92
          34          78         20
          34          79         22
          34          81         10
          34          84         76
          34          85         16
          34          89         15
          34          90         27
          35           1         14
          35          14         22
          35          15         32
          35          16         52
          35          17         73
          35          18         15
          35          20          5
          35          21         76
          35          22         81
          35          24         10
          35          25        310
          35          26         60
          35          29         39
          35          30         14
          35          31          5
          35          34        197
          35          35        201
          35          36         79
          35          37         94
          35          38         51
          35          39         24
          35          40         37
          35          41         40
          35          42         21
          35          43         70
          35          45         44
          35          46        106
          35          48         37
          35          49         23
          35          50         67
          35          51         92
          35          52         24
          35          53         14
          35          54         34
          35          55         85
          35          56         69
          35          57        146
          35          58         18
          35          59         58
          35          60         68
          35          61         65
          35          62         50
          35          63         60
          35          64         76
          35          65         65
          35          66        117
          35          67         15
          35          68         93
          35          69         52
          35          70         15
          35          71         83
          35          73         38
          35          75         25
          35          76         23
          35          77         79
          35          78         59
          35          79        110
          35          81         36
          35          82         17
          35          84         19
